DATE,Median_Sale_Price_House,Personal_Income_Per_Capita,Property_Tax,Nasdaqcom,Construction_Employment_Cost,Population,New_House_Units_Construction,CPI,Mortage_Rate,Unemployment_Rate,Household_Debt_Payment,Recession_Rate,S&PCase_Schiller_Index
2008-10-01,222500.0,40434.0,7169.0,1604.34625,110.9,305616.666666667,841.333333333333,2.78202926666667,5.84142857142857,6.86666666666667,12.808876,96.83,156.029333333333
2004-01-01,212700.0,33435.0,5710.0,2038.8214516129,94.5,292236.666666667,1202.33333333333,2.04864023333333,5.5975,5.7,12.218837,0.07,143.299
2011-10-01,221100.0,42963.0,7386.0,2600.91365079365,114.5,313258,429.666666666667,1.90997713333333,4.00230769230769,8.63333333333333,10.471242,0.04,137.259333333333
2008-07-01,226500.0,40872.0,7051.0,2290.6703125,110.6,304902.333333333,931.666666666667,3.05847953333333,6.32230769230769,6,12.880703,98.49,161.953666666667
2001-10-01,171100.0,31391.0,5103.0,1826.92765625,87.4,286311.333333333,1005,3.56038916666667,6.77076923076923,5.5,12.682022,16.83,115.874
2022-10-01,479500.0,66633.0,11802.0,10871.376031746,151.4,334282.666666667,1700.33333333333,6.48440333333333,6.66461538461538,3.6,9.891317,1.11,298.185
2006-10-01,245400.0,38323.0,6779.0,2388.64603174603,103.6,299946,1265,3.1878481,6.24384615384615,4.43333333333333,12.982641,0.09,183.648666666667
2004-10-01,228800.0,34939.0,5811.0,2051.76984375,96.7,294334,1270.66666666667,2.28410613333333,5.73615384615385,5.43333333333333,12.276606,0.06,157.535666666667
2019-07-01,318400.0,55662.0,10191.0,8067.463734375,136.4,330728.666666667,1152,2.56562033333333,3.65846153846154,3.63333333333333,9.969795,0.37,210.094666666667
2006-04-01,246300.0,37726.0,6591.0,2235.78047619048,101.9,298408,1397.66666666667,2.8330273,6.60230769230769,4.63333333333333,12.767398,0.13,183.997333333333
2022-04-01,449300.0,64982.0,11533.0,12195.24,149.0,333320.333333333,1679,5.04324066666667,5.26615384615385,3.6,9.785051,0.33,303.019666666667
2003-04-01,191800.0,32416.0,5757.0,1521.92158730159,92.2,290252.666666667,1051.33333333333,2.3597466,5.50692307692308,6.13333333333333,12.299499,0.33,131.756
